Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 5687.0 6342.0 1.06
2 2 242.0 3 7885.0 5508.0 1.6
3 5 245.0 3 9210.0 3238.0 0.53
4 5 245.0 3 5920.0 9805.0 0.99
5 6 246.0 3 9020.0 7869.0 1.3
6 7 247.0 3 5855.0 1832.0 1.42
7 8 248.0 3 2966.0 8239.0 1.93
8 8 248.0 3 9551.0 5021.0 0.89
9 9 249.0 3 9565.0 5508.0 1.8
10 10 250.0 3 5389.0 4199.0 1.6
11 10 250.0 3 6022.0 9210.0 1.71
12 11 251.0 3 2200.0 2273.0 0.86
13 12 252.0 3 7664.0 2770.0 1.52
14 13 253.0 3 6824.0 6718.0 1.04
15 13 253.0 3 7225.0 7092.0 1.74
16 13 253.0 3 9390.0 7843.0 0.57
17 16 256.0 3 2839.0 1474.0 1.65
18 17 257.0 3 9134.0 5174.0 0.7
19 18 258.0 3 7082.0 2868.0 1.17
20 19 259.0 3 5553.0 7041.0 0.81
21 19 259.0 3 7427.0 8627.0 1.31
22 23 263.0 3 5456.0 7957.0 0.82
23 23 263.0 3 8457.0 8505.0 0.45
24 24 264.0 3 4387.0 6215.0 1.33
25 24 264.0 3 6225.0 4976.0 0.92
26 25 265.0 3 401.0 1871.0 0.82
27 26 266.0 3 5844.0 517.0 1.04
28 27 267.0 3 402.0 1488.0 0.8
29 27 267.0 3 1680.0 5751.0 1.45
30 28 268.0 3 4635.0 1611.0 1.26
31 28 268.0 3 8003.0 3482.0 1.16
32 29 269.0 3 1493.0 1875.0 0.55
33 29 269.0 3 4680.0 1833.0 0.82
34 35 275.0 3 8557.0 7306.0 1.01
35 35 275.0 3 2765.0 7259.0 1.58
36 36 276.0 3 5799.0 9640.0 0.74
37 37 277.0 3 2034.0 9527.0 1.21
38 37 277.0 3 2061.0 1841.0 1.53
39 38 278.0 3 3441.0 7811.0 1.26
40 38 278.0 3 4539.0 7593.0 1.57
41 41 281.0 3 6085.0 7633.0 1.85
42 41 281.0 3 654.0 4429.0 1.81
43 42 282.0 3 2905.0 9364.0 1.5
44 43 283.0 3 8759.0 396.0 0.31
45 44 284.0 3 2050.0 8287.0 1.98
46 46 286.0 3 9378.0 3025.0 0.37
47 47 287.0 3 3867.0 4868.0 0.95
48 49 289.0 3 7047.0 7264.0 1.83
49 50 290.0 3 2865.0 3410.0 0.68
50 50 290.0 3 8910.0 7456.0 1.5
51 51 291.0 3 7756.0 3650.0 1.97
52 51 291.0 3 8910.0 5214.0 0.71
53 52 292.0 3 2988.0 4916.0 1.91
54 52 292.0 3 1858.0 7574.0 0.51
55 53 293.0 3 9065.0 7270.0 1.13
56 53 293.0 3 6904.0 6814.0 1.8
57 57 297.0 3 6219.0 667.0 1.92
58 57 297.0 3 4564.0 9135.0 0.4
59 58 298.0 3 6225.0 2072.0 0.34
60 58 298.0 3 1280.0 8562.0 1.19
61 59 299.0 3 920.0 3754.0 0.77
62 62 302.0 3 3648.0 398.0 0.8
63 62 302.0 3 7279.0 2425.0 0.54
64 62 302.0 3 9682.0 7778.0 0.76
65 63 303.0 3 9975.0 2874.0 0.38
66 64 304.0 3 5403.0 152.0 0.38
67 68 308.0 3 9619.0 5083.0 0.98
68 70 310.0 3 9102.0 1373.0 1.1
69 70 310.0 3 6342.0 2408.0 0.9
70 71 311.0 3 7597.0 9873.0 0.81
71 71 311.0 3 8229.0 8328.0 0.32
72 72 312.0 3 7169.0 1606.0 1.81
73 73 313.0 3 5217.0 2400.0 1.39
74 77 317.0 3 7477.0 3636.0 0.38
75 78 318.0 3 9884.0 7122.0 0.39
76 79 319.0 3 4533.0 4220.0 0.75
77 80 320.0 3 4415.0 5733.0 1.53
78 81 321.0 3 778.0 1005.0 0.59
79 82 322.0 3 264.0 3381.0 1.32
80 83 323.0 3 4922.0 3916.0 0.65
81 86 326.0 3 3986.0 2577.0 1.73
82 88 328.0 3 1250.0 7934.0 0.3
83 88 328.0 3 6766.0 1257.0 1.21
84 88 328.0 3 1482.0 5350.0 1.53
85 90 330.0 3 5853.0 5576.0 1.41
86 90 330.0 3 9337.0 2566.0 1.53
87 90 330.0 3 1641.0 2589.0 0.34
88 91 331.0 3 3501.0 5914.0 1.64
89 91 331.0 3 3738.0 7398.0 1.29
90 92 332.0 3 2727.0 482.0 1.45
91 92 332.0 3 7127.0 9968.0 1.24
92 93 333.0 3 3883.0 300.0 0.91
93 94 334.0 3 7632.0 1751.0 0.48
94 95 335.0 3 3056.0 5980.0 1.19
95 95 335.0 3 5732.0 2349.0 1.0
96 98 338.0 3 6117.0 4512.0 1.02
97 99 339.0 3 2129.0 9113.0 1.73
98 100 340.0 3 8248.0 5402.0 1.71
99 100 340.0 3 9176.0 9556.0 0.45
100 101 341.0 3 6986.0 5167.0 1.39
101 101 341.0 3 3625.0 5092.0 0.94
102 101 341.0 3 4016.0 7199.0 1.24
103 105 345.0 3 6756.0 590.0 1.37
104 106 346.0 3 6969.0 5475.0 0.4
105 107 347.0 3 9404.0 6572.0 1.41
106 107 347.0 3 572.0 6240.0 1.56
107 110 350.0 3 5797.0 7921.0 0.54
108 111 351.0 3 5396.0 893.0 1.73
109 111 351.0 3 5068.0 4746.0 1.0
110 112 352.0 3 7526.0 494.0 0.78
111 112 352.0 3 6460.0 9808.0 0.94
112 113 353.0 3 9042.0 188.0 0.66
113 113 353.0 3 5437.0 2391.0 1.12
114 113 353.0 3 8120.0 5501.0 1.66
115 114 354.0 3 4435.0 9231.0 1.28
116 114 354.0 3 4580.0 2701.0 1.83
117 115 355.0 3 313.0 9291.0 0.62
118 116 356.0 3 3580.0 5791.0 1.98
119 117 357.0 3 2770.0 4216.0 1.38
120 124 364.0 3 1807.0 4930.0 1.58
121 126 366.0 3 2786.0 7696.0 0.38
122 126 366.0 3 8070.0 9480.0 0.39
123 130 370.0 3 1980.0 1465.0 0.95
124 131 371.0 3 8024.0 8984.0 0.79
125 131 371.0 3 4728.0 562.0 0.32
126 132 372.0 3 2445.0 7313.0 0.36
127 132 372.0 3 3226.0 1672.0 1.24
128 132 372.0 3 1564.0 7115.0 0.31
129 134 374.0 3 9775.0 6263.0 1.38
130 134 374.0 3 3625.0 6505.0 0.7
131 134 374.0 3 3149.0 9369.0 0.6
132 137 377.0 3 336.0 3746.0 0.98
133 138 378.0 3 6953.0 2427.0 1.17
134 141 381.0 3 4725.0 8202.0 1.81
135 143 383.0 3 8434.0 7714.0 0.36
136 143 383.0 3 7764.0 139.0 0.57
137 143 383.0 3 7.0 2928.0 1.13
138 144 384.0 3 5772.0 6057.0 1.88
139 145 385.0 3 7618.0 7784.0 0.37
140 145 385.0 3 4311.0 9473.0 1.37
141 145 385.0 3 2640.0 6744.0 1.02
142 145 385.0 3 9764.0 4090.0 0.78
143 148 388.0 3 4350.0 723.0 0.82
144 149 389.0 3 5667.0 3386.0 1.9
145 151 391.0 3 3713.0 2247.0 1.68
146 152 392.0 3 6156.0 7370.0 1.35
147 153 393.0 3 1898.0 2260.0 1.37
148 153 393.0 3 4873.0 1546.0 0.83
149 153 393.0 3 1085.0 1550.0 1.32
150 154 394.0 3 1715.0 7072.0 1.31
151 155 395.0 3 3726.0 629.0 0.75
152 156 396.0 3 5691.0 4298.0 1.93
153 159 399.0 3 6124.0 3153.0 1.47
154 160 400.0 3 7497.0 5723.0 0.66
155 160 400.0 3 6343.0 5563.0 0.42
156 160 400.0 3 896.0 1516.0 0.65
157 163 403.0 3 3751.0 5375.0 1.04
158 164 404.0 3 171.0 1817.0 0.39
159 164 404.0 3 2533.0 5126.0 0.92
160 164 404.0 3 8962.0 2912.0 1.63
161 164 404.0 3 1018.0 2746.0 0.91
162 165 405.0 3 6754.0 6073.0 1.07
163 167 407.0 3 9926.0 4732.0 1.55
164 169 409.0 3 5812.0 2084.0 1.02
165 171 411.0 3 1479.0 3115.0 1.28
166 172 412.0 3 3739.0 3088.0 1.02
167 175 415.0 3 6618.0 6882.0 0.95
168 176 416.0 3 1376.0 9410.0 0.5
169 177 417.0 3 7836.0 9876.0 0.33
170 179 419.0 3 6616.0 8753.0 1.44
171 180 420.0 3 4130.0 2494.0 0.4
172 181 421.0 3 2852.0 2996.0 1.32
173 181 421.0 3 3770.0 7634.0 1.92
