Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 2 242.0 3 5522.0 5449.0 0.66
2 4 244.0 3 6992.0 8724.0 1.19
3 5 245.0 3 5773.0 6170.0 0.89
4 7 247.0 3 4404.0 5154.0 1.56
5 7 247.0 3 6684.0 5786.0 1.18
6 8 248.0 3 5236.0 1749.0 0.78
7 10 250.0 3 6948.0 4705.0 1.85
8 10 250.0 3 4303.0 1457.0 1.98
9 12 252.0 3 3771.0 5822.0 0.92
10 13 253.0 3 2710.0 1615.0 0.52
11 16 256.0 3 1573.0 3024.0 1.7
12 16 256.0 3 3493.0 11844.0 0.33
13 17 257.0 3 4776.0 2367.0 1.2
14 17 257.0 3 4212.0 5343.0 1.53
15 18 258.0 3 1691.0 2419.0 0.46
16 18 258.0 3 2826.0 4573.0 0.76
17 19 259.0 3 5948.0 8089.0 1.43
18 25 265.0 3 1667.0 6826.0 0.46
19 25 265.0 3 8030.0 3093.0 1.58
20 26 266.0 3 7093.0 2844.0 1.74
21 27 267.0 3 7178.0 6363.0 0.65
22 27 267.0 3 9708.0 6204.0 0.48
23 31 271.0 3 1743.0 361.0 1.26
24 31 271.0 3 2564.0 8592.0 1.95
25 31 271.0 3 4775.0 6454.0 1.45
26 32 272.0 3 -46.0 7203.0 1.27
27 33 273.0 3 1717.0 4325.0 1.85
28 33 273.0 3 6280.0 3433.0 0.52
29 34 274.0 3 2950.0 7480.0 1.33
30 34 274.0 3 7890.0 2000.0 1.63
